birthday,age,startDate,parttimePercentage,hometown,gender,disciplineWithLevel,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
23/3/1991,26,1/3/2016,90,'s-Gravenhage,Vrouw,UX Designer,Amsterdam,Development Eindhoven eFocus,Fulltimer,,Nederland
6/4/1988,29,1/10/2016,100,Veenendaal,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Rhenen,Nederland
16/1/1970,47,29/7/2014,100,Delft,Man,Strategy Director,Utrecht,eFocus,Parttimer,Capelle aan den IJssel,Nederland
27/9/1972,45,1/3/2015,90,Berkel-Enschot,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Tilburg,Nederland
2/2/1972,45,1/4/2017,90,Houten,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Nieuwegein,Nederland
1/2/1979,38,1/2/2017,90,Veenendaal,Man,Senior projectmanager,Utrecht,PM en SM Utrecht eFocus,Parttimer,Oldenzaal,Nederland
22/6/1984,33,1/4/2010,100,Amsterdam,Man,Senior Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Deventer,Nederland
24/4/1981,36,1/12/2014,100,Utrecht,Man,Senior Front-end Developer,Amersfoort,Creatie Amsterdam eFocus,Fulltimer,Huizen,Nederland
9/9/1992,25,1/4/2015,90,Veenendaal,Vrouw,Directiesecretaresse,Amersfoort,Secretariaat,Parttimer,Dodewaard,Nederland
6/5/1981,36,1/4/2017,80,Amersfoort,Man,Senior developer,Amersfoort,Development Utrecht eFocus,Parttimer,Heerlen,Nederland
4/8/1996,21,1/12/2017,60,Hensbroek,Vrouw,Front-end Developer,Amsterdam,Creatie Amersfoort eFocus,Parttimer,Alkmaar,Nederland
21/9/1988,29,1/5/2010,100,Druten,Man,Business Analyst,Utrecht,Development Amsterdam eFocus,Parttimer,Nijmegen,Nederland
17/10/1993,24,1/11/2010,90,IJsselstein Ut,Vrouw,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Everdingen,Wit Rusland
29/1/1993,24,1/3/2011,90,Someren,Man,Senior developer,Eindhoven,Development Amersfoort eFocus,Parttimer,Lagos,Nederland
24/9/1988,29,10/12/2007,80,Lelystad,Man,Senior Business Analyst,Utrecht,Development Utrecht eFocus,Parttimer,Lelystad,Nederland
15/5/1972,45,20/3/2017,80,Utrecht,Vrouw,Senior developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Lelystad,Nederland
7/11/1970,47,1/12/2010,100,Amsterdam,Man,Digital Director,Amsterdam,eFocus,Fulltimer,Amsterdam,Nederland
21/3/1985,32,1/3/2017,90,Hilversum,Vrouw,Senior Accountmanager,Amsterdam,Sales & accountmanagement,Fulltimer,Berlin,Nederland
7/5/1982,35,1/9/2013,100,Diemen,Man,Art Director,Utrecht,Creatie Amersfoort eFocus,Fulltimer,Zaandam,Nederland
24/12/1975,41,1/9/2013,100,Utrecht,Vrouw,Digital Consultant,Utrecht,Strategie en OM Utrecht eFocus,Parttimer,Utrecht,Nederland
27/5/1981,36,28/9/2017,80,Naarden,Man,Senior Front-end Developer,Amsterdam,Creatie Amersfoort eFocus,Parttimer,Naarden,Nederland
12/12/1985,32,15/5/2017,100,Amsterdam,Man,Developer,Amsterdam,Development Amersfoort eFocus,Fulltimer,Hoorn NH,Nederland
5/12/1976,41,1/3/2017,100,Houten,Man,Cloud Engineer,Utrecht,Development Utrecht eFocus,Fulltimer,Neerijnen,Nederland
13/4/1972,45,1/1/2012,90,Rotterdam,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Rotterdam,Nederland
5/11/1985,32,4/4/2011,100,Utrecht,Vrouw,Projectmanager,Utrecht,PM en SM Amersfoort eFocus,Fulltimer,Tilburg,Nederland
11/6/1983,34,1/11/2008,80,Amsterdam,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Amsterdam,Nederland
24/2/1980,37,4/9/2017,90,Utrecht,Man,Senior projectmanager,Utrecht,PM en SM Amsterdam eFocus,Parttimer,Utrecht,Nederland
28/7/1981,36,1/2/2017,90,Bilthoven,Man,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Gouda,Nederland
3/8/1987,30,23/10/2015,100,Utrecht,Vrouw,Content Producer,Utrecht,Strategie en OM Amersfoort eFocus,Fulltimer,IJsselstein Ut,Nederland
18/9/1972,45,14/8/2017,50,'s-Hertogenbosch,Man,Digital Consultant,Eindhoven,Strategie en OM Amsterdam eFocus,Fulltimer,Breda,Nederland
19/12/1979,38,1/7/2012,80,Utrecht,Man,Business Analyst,Amersfoort,Development Amsterdam eFocus,Parttimer,,Nederland
19/11/1975,42,1/8/2015,100,Ermelo,Man,Software Architect,Amersfoort,Development Amersfoort eFocus,Parttimer,Amersfoort,Nederland
24/4/1989,28,1/10/2016,80,Boskoop,Man,Senior Art Director,Utrecht,Creatie Utrecht eFocus,Parttimer,Coevorden,Nederland
27/4/1990,27,1/1/2014,100,Driebergen-Rijsenburg,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Breda,Nederland
3/2/1981,36,1/11/2017,90,Renswoude,Man,Senior Front-end Developer,Amersfoort,Creatie Utrecht eFocus,Fulltimer,Renswoude,Nederland
25/7/1982,35,17/8/2015,100,Utrecht,Man,Art Director,Utrecht,Creatie Amsterdam eFocus,Fulltimer,Zwolle,Nederland
8/12/1990,27,1/10/2007,90,Utrecht,Man,Digital Consultant,Utrecht,Strategie en OM Amersfoort eFocus,Parttimer,Termanggung,Nederland
15/9/1983,34,17/10/2016,90,Rotterdam,Man,Senior Cloud Engineer,Utrecht,Development Amsterdam eFocus,Parttimer,Rotterdam,Nederland
27/8/1984,33,1/12/2012,100,Mierlo,Vrouw,Projectmanager,Eindhoven,PM en SM Utrecht eFocus,Fulltimer,Mierlo,Nederland
31/8/1985,32,1/11/2009,90,Utrecht,Man,Visual Designer,Utrecht,Creatie Amersfoort eFocus,Fulltimer,Roermond,Indonesië
11/10/1979,38,1/1/2012,100,Utrecht,Man,Algemeen Directeur,Utrecht,eFocus,Fulltimer,Utrecht,Nederland
25/5/1967,50,9/10/2017,100,Utrecht,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Hoogeveen,Nederland
18/3/1992,25,1/1/2016,100,Amsterdam,Man,Senior Front-end Developer,Amsterdam,Creatie Amersfoort eFocus,Fulltimer,Ens,Nederland
26/11/1977,40,9/8/2010,80,Amsterdam,Man,Cloud Engineer,Utrecht,Development Amersfoort eFocus,Parttimer,Athens,Nederland
29/3/1975,42,14/9/2015,100,Utrecht,Vrouw,Senior Content Producer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Zutphen,Nederland
18/12/1990,27,1/4/2017,100,Maarssen,Vrouw,Digital Marketeer,Utrecht,Strategie en OM Amersfoort eFocus,Fulltimer,Maarssen,Nederland
6/10/1981,36,1/6/2009,100,Eindhoven,Vrouw,Digital Marketeer,Eindhoven,Strategie en OM Utrecht eFocus,Fulltimer,,Nederland
25/1/1979,38,1/7/2017,100,Utrecht,Man,Developer,Utrecht,Development Amsterdam eFocus,Fulltimer,Zwolle,Nederland
16/12/1973,44,1/11/2016,100,Uithoorn,Man,QA Specialist,Amsterdam,Development Utrecht eFocus,Fulltimer,Amsterdam,Nederland
10/11/1987,30,1/4/2013,100,Krommenie,Man,Projectmanager,Amsterdam,PM en SM Utrecht eFocus,Fulltimer,Amsterdam,Nederland
3/1/1975,42,1/8/2016,90,Woerden,Man,Digital Consultant,Amsterdam,Strategie en OM Amsterdam eFocus,Parttimer,Valkenswaard,Nederland
18/6/1985,32,1/2/2017,100,'s-Gravenhage,Vrouw,Projectmanager,Amsterdam,PM en SM Amersfoort eFocus,Fulltimer,Utrecht,Nederland
7/5/1993,24,1/5/2017,100,Utrecht,Man,Servicemanager,Amsterdam,PM en SM Utrecht eFocus,Fulltimer,'s-Gravenhage,Nederland
8/12/1991,26,13/2/2017,80,Eindhoven,Vrouw,Servicemanager,Eindhoven,PM en SM Amersfoort eFocus,Fulltimer,Eindhoven,Nederland
24/11/1989,28,1/12/2016,100,Amersfoort,Man,Business Analyst,Amersfoort,Development Amsterdam eFocus,Fulltimer,Amersfoort,Nederland
19/10/1988,29,1/11/2014,95,Utrecht,Vrouw,Digital Marketeer,Utrecht,Strategie en OM Eindhoven eFocus,Fulltimer,Zoetermeer,Nederland
3/7/1978,39,13/3/2017,95,Utrecht,Man,Senior Visual Designer,Amersfoort,Creatie Eindhoven eFocus,Fulltimer,Delft,Nederland
30/5/1991,26,13/3/2017,100,Utrecht,Man,Visual Designer,Amersfoort,Creatie Utrecht eFocus,Fulltimer,Maastricht,Nederland
20/1/1986,31,1/3/2017,100,'s-Hertogenbosch,Man,Software Architect,Eindhoven,Development Amersfoort eFocus,Fulltimer,Boxtel,Nederland
19/2/1987,30,1/6/2016,100,Utrecht,Man,Creative Director,Utrecht,eFocus,Parttimer,Arnhem,Nederland
3/7/1978,39,1/3/2007,100,Tilburg,Man,Senior UX Designer,Eindhoven,Creatie Utrecht eFocus,Fulltimer,Tilburg,Nederland
25/7/1973,44,7/5/2012,90,Zeewolde,Man,Developer,Amersfoort,Development Amersfoort eFocus,Parttimer,Amersfoort,Nederland
29/1/1991,26,1/7/2008,90,Tilburg,Man,Developer,Eindhoven,Development Utrecht eFocus,Parttimer,Amsterdam,Nederland
2/1/1978,39,1/3/2017,80,Utrecht,Man,Business Analyst,Utrecht,Development Amersfoort eFocus,Fulltimer,Zwolle,Nederland
21/2/1970,47,4/7/2011,100,Eindhoven,Man,Developer,Eindhoven,Development Amersfoort eFocus,Fulltimer,Haarlemmermeer,Nederland
23/9/1992,25,1/5/2016,90,Amsterdam,Man,Digital Marketeer,Amsterdam,Strategie en OM Eindhoven eFocus,Parttimer,,Nederland
9/10/1979,38,1/6/2017,100,Barneveld,Man,Account Director,Amersfoort,Sales & accountmanagement,Fulltimer,Amersfoort,Nederland
20/12/1977,40,1/7/2016,90,Utrecht,Man,Senior developer,Amersfoort,Development Eindhoven eFocus,Parttimer,Kavala,Nederland
30/1/1969,48,3/7/2015,90,Zandvoort,Man,Business Analyst,Amsterdam,Development Eindhoven eFocus,Fulltimer,Haarlem,Bosnië Herzegowina
13/4/1995,22,10/12/2013,100,Alkmaar,Man,Servicemanager,Amsterdam,PM en SM Utrecht eFocus,Fulltimer,Delft,Nederland
26/1/1990,27,1/5/2017,100,Eindhoven,Man,Account Director,Eindhoven,Sales & accountmanagement,Fulltimer,Kano,Nederland
30/1/1987,30,1/5/2016,100,Bilthoven,Vrouw,Front-end Developer,Amersfoort,Creatie Utrecht eFocus,Fulltimer,Wageningen,Nederland
6/4/1984,33,1/2/2013,80,Utrecht,Man,Senior UX Designer,Utrecht,Creatie Utrecht eFocus,Parttimer,Alkmaar,Nederland
26/8/1985,32,1/5/2014,100,'s-Hertogenbosch,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Sint Michielsgestel,Italië
10/3/1965,52,11/1/2016,80,Eindhoven,Man,Developer,Eindhoven,Development Amersfoort eFocus,Fulltimer,Veldhoven,Nederland
6/7/1983,34,1/4/2014,60,Zaandam,Man,Senior QA Specialist,Amsterdam,Development Eindhoven eFocus,Fulltimer,Zaandam,Nederland
4/11/1967,50,1/5/2013,80,Amersfoort,Man,Developer,Amersfoort,Development Utrecht eFocus,Parttimer,Rhenen,Nederland
16/5/1987,30,1/7/2016,80,Amersfoort,Man,Developer,Utrecht,Development Eindhoven eFocus,Parttimer,Kesteren,Nederland
9/5/1991,26,1/10/2016,100,Amsterdam,Man,Senior UX Designer,Utrecht,Creatie Eindhoven eFocus,Fulltimer,Amsterdam,Nederland
7/5/1983,34,1/4/2014,100,Amsterdam,Man,Senior Visual Designer,Amsterdam,Creatie Amersfoort eFocus,Fulltimer,,Nederland
26/5/1994,23,1/1/2016,100,Amsterdam,Man,Developer,Utrecht,Development Eindhoven eFocus,Parttimer,Amsterdam,België
22/3/1984,33,29/6/2015,100,Amsterdam,Man,Developer,Utrecht,Development Amsterdam eFocus,Fulltimer,Zeist,Nederland
17/11/1985,32,1/10/2017,100,Eindhoven,Vrouw,Projectmanager,Eindhoven,PM en SM Amsterdam eFocus,Fulltimer,Breda,Nederland
31/7/1981,36,1/9/2014,90,Eindhoven,Man,Servicemanager,Eindhoven,PM en SM Amsterdam eFocus,Parttimer,Veldhoven,Nederland
28/2/1976,41,1/9/2015,100,Utrecht,Man,Developer,Utrecht,Development Amsterdam eFocus,Fulltimer,'s-Hertogenbosch,Nederland
5/3/1990,27,1/6/2017,90,Utrecht,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Zoetermeer,Nederland
5/11/1987,30,1/11/2014,90,Amersfoort,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Zeist,Finland
12/8/1977,40,1/4/2017,100,Amsterdam,Man,Developer,Amsterdam,Development Amersfoort eFocus,Fulltimer,Alkmaar,Nederland
29/6/1971,46,13/3/2017,100,Almere,Man,Senior Servicemanager,Amersfoort,PM en SM Utrecht eFocus,Fulltimer,Arnedo,Nederland
7/2/1986,31,13/3/2017,100,Blokker,Man,Digital Marketeer,Amsterdam,Strategie en OM Eindhoven eFocus,Fulltimer,Amsterdam,Nederland
23/1/1971,46,20/4/2009,90,Amersfoort,Man,Front-end Developer,Amersfoort,Creatie Utrecht eFocus,Fulltimer,Rotterdam,Nederland
2/5/1980,37,1/11/2008,100,Utrecht,Man,Senior Front-end Developer,Utrecht,Creatie Amsterdam eFocus,Fulltimer,Utrecht,Nederland
27/5/1978,39,1/9/2015,90,Amsterdam,Man,Developer,Amsterdam,Development Eindhoven eFocus,Fulltimer,Teheran,Nederland
20/9/1979,38,15/12/2008,80,Utrecht,Vrouw,Academy Manager,Utrecht,Marketing & Communicatie,Parttimer,Gouda,Nederland
8/1/1987,30,1/11/2016,100,Tilburg,Man,Visual Designer,Eindhoven,Creatie Amsterdam eFocus,Parttimer,Goirle,Nederland
13/1/1981,36,1/1/2013,100,Tilburg,Man,Projectmanager,Eindhoven,PM en SM Utrecht eFocus,Fulltimer,Tilburg,Nederland
1/4/1977,40,1/9/2015,90,'s-Hertogenbosch,Man,Front-end Developer,Utrecht,Creatie Amersfoort eFocus,Parttimer,Asten,Nederland
22/9/1985,32,1/4/2015,90,Everdingen,Man,Senior UX Designer,Utrecht,Creatie Amersfoort eFocus,Parttimer,Utrecht,Nederland
20/11/1978,39,1/7/2013,100,Utrecht,Man,Senior developer,Utrecht,Development Amsterdam eFocus,Fulltimer,Heerlen,Nederland
24/8/1989,28,1/12/2016,100,Santa Eularia des Rui,Man,Digital Consultant,Eindhoven,Strategie en OM Utrecht eFocus,Fulltimer,Laren NH,Nederland
22/9/1991,26,1/11/2003,100,Utrecht,Vrouw,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Leeuwarden,Filippijnen
6/6/1979,38,7/7/2014,100,Amsterdam,Vrouw,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Zwolle,Indonesië
21/10/1978,39,1/8/2011,100,Utrecht,Vrouw,Projectmanager,Utrecht,PM en SM Eindhoven eFocus,Fulltimer,Nieuwegein,Nederland
28/10/1980,37,15/12/2009,100,Hilversum,Man,Developer,Utrecht,Development Eindhoven eFocus,Fulltimer,Loosdrecht,Nederland
17/11/1988,29,1/6/2009,100,Leusden,Vrouw,Marketing & Content Specialist,Amersfoort,Marketing & Communicatie,Fulltimer,Almelo,Nederland
6/8/1994,23,8/12/2015,100,Alphen aan den Rijn,Vrouw,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Dordrecht,Nederland
21/3/1986,31,1/8/2015,80,Utrecht,Man,Developer,Amersfoort,Development Amsterdam eFocus,Parttimer,Huizen,Nederland
4/6/1986,31,1/9/2017,75,Amsterdam,Vrouw,Servicemanager,Amersfoort,PM en SM Eindhoven eFocus,Parttimer,Amsterdam,Nederland
24/10/1980,37,1/10/2017,90,Leusden,Man,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Hoogland,Nederland
1/12/1976,41,1/11/2014,100,Haarlem,Vrouw,Visual Designer,Amsterdam,Creatie Eindhoven eFocus,Fulltimer,Haarlem,Nederland
12/5/1989,28,12/9/2016,90,Sittard,Man,QA Specialist,Eindhoven,Development Amsterdam eFocus,Fulltimer,Brühl,Nederland
19/9/1988,29,1/12/2017,90,Bilthoven,Man,Art Director,Utrecht,Creatie Utrecht eFocus,Fulltimer,Oosterhout NB,Nederland
13/4/1994,23,1/8/2015,100,Amersfoort,Vrouw,UX Designer,Amersfoort,Creatie Amsterdam eFocus,Parttimer,Baarn,Nederland
7/3/1984,33,1/1/2017,100,Bunnik,Man,Digital Marketeer,Utrecht,Strategie en OM Amsterdam eFocus,Fulltimer,Alkmaar,Nederland
13/9/1969,48,1/4/2014,100,Amsterdam,Vrouw,Projectmanager,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Westellingwerf,Nederland
26/1/1992,25,10/1/2012,100,Odijk,Vrouw,Digital Marketeer,Utrecht,Strategie en OM Eindhoven eFocus,Fulltimer,Borisov,Nederland
8/12/1975,42,1/11/2014,100,Amsterdam,Man,Managing Director,Amsterdam,eFocus,Fulltimer,Ede Gld,Nederland
29/2/1980,37,7/8/2017,100,Woudenberg,Vrouw,QA Specialist,Amersfoort,Development Amersfoort eFocus,Fulltimer,Tiel,Nederland
6/11/1976,41,13/3/2017,100,Zwolle,Man,Digital Consultant,Amersfoort,Strategie en OM Amsterdam eFocus,Fulltimer,Zwolle,Iran
26/10/1983,34,20/8/2007,100,Hooglanderveen,Man,Developer,Utrecht,Development Eindhoven eFocus,Oproepkracht,Naarden,India
29/5/1974,43,14/9/2015,100,Utrecht,Man,Digital Consultant,Utrecht,Strategie en OM Eindhoven eFocus,Fulltimer,Nijmegen,Germany
4/7/1974,43,1/4/2013,75,Weert,Vrouw,Senior QA Specialist,Eindhoven,Development Utrecht eFocus,Parttimer,Gent,Nederland
6/1/1995,22,1/7/2016,80,Alkmaar,Man,UX Designer,Amsterdam,Creatie Utrecht eFocus,Fulltimer,Meppel,Nederland
5/12/1974,43,1/2/2017,100,Barneveld,Man,Digital Marketeer,Utrecht,Strategie en OM Amsterdam eFocus,Fulltimer,Barneveld,Nederland
13/10/1994,23,16/2/2015,100,Amsterdam,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Hardenberg,Nederland
29/4/1988,29,19/11/2012,100,Driebergen-Rijsenburg,Man,Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Utrecht,Nederland
18/1/1991,26,1/7/2017,80,Vleuten,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Utrecht,Nederland
14/9/1974,43,14/12/2015,95,Zoetermeer,Vrouw,UX Designer,Utrecht,Creatie Eindhoven eFocus,Parttimer,Leidschendam,Nederland
25/1/1978,39,1/4/2011,90,Amsterdam,Man,Front-end Developer,Amsterdam,Creatie Eindhoven eFocus,Parttimer,Heerlen,Nederland
23/4/1984,33,20/2/2017,80,Zeeland,Man,QA Specialist,Eindhoven,Development Utrecht eFocus,Parttimer,Nijmegen,Nederland
19/8/1986,31,1/1/2012,90,Amsterdam,Vrouw,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Agnita,Nederland
24/7/1983,34,5/9/2017,100,Amsterdam,Man,Developer,Amsterdam,Development Amersfoort eFocus,Fulltimer,Amsterdam,Nederland
22/8/1968,49,1/9/2000,100,Amersfoort,Vrouw,UX Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Nijmegen,Nederland
22/12/1973,44,1/1/2017,100,Maarssen,Man,Digital Marketeer,Amersfoort,Strategie en OM Utrecht eFocus,Fulltimer,Amsterdam,Turkije
6/11/1979,38,17/11/2014,100,Leusden,Vrouw,Front-end Developer,Amersfoort,Creatie Eindhoven eFocus,Fulltimer,Leusden,Nederland
29/11/1984,33,1/8/2013,100,Amersfoort,Man,Content Producer,Amersfoort,Strategie en OM Utrecht eFocus,Fulltimer,Alphen aan den Rijn,Nederland
31/12/1988,28,13/7/2015,80,Utrecht,Vrouw,Projectmanager,Amersfoort,PM en SM Eindhoven eFocus,Parttimer,Bandung,Nederland
29/12/1988,28,1/1/2016,80,Amstelveen,Man,Developer,Amsterdam,Development Utrecht eFocus,Parttimer,Harlingen,Nederland
24/9/1988,29,24/8/2015,100,Utrecht,Man,Developer,Utrecht,Development Amsterdam eFocus,Fulltimer,Utrecht,Nederland
2/9/1970,47,25/6/2016,80,Zwolle,Man,Business Analyst,Amersfoort,Development Utrecht eFocus,Parttimer,Zwolle,Nederland
20/8/1970,47,14/4/2008,80,Nieuw Vennep,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Rijswijk,Nederland
28/11/1991,26,18/5/2015,100,Amsterdam,Man,Projectmanager,Amsterdam,PM en SM Utrecht eFocus,Fulltimer,Amsterdam,Nederland
1/4/1971,46,7/3/2016,100,Almere,Man,Digital Consultant,Utrecht,Strategie en OM Amersfoort eFocus,Fulltimer,Amsterdam,Nederland
17/11/1978,39,1/8/2007,100,Heerlen,Man,Developer,Eindhoven,Development Amsterdam eFocus,Fulltimer,Leerdam,Nederland
22/6/1983,34,22/2/2016,80,Utrecht,Man,Front-end Developer,Utrecht,Creatie Amsterdam eFocus,Parttimer,Utrecht,Nederland
17/6/1978,39,17/4/2017,100,Utrecht,Man,Cloud Engineer,Amersfoort,Development Amsterdam eFocus,Fulltimer,Utrecht,Nederland
14/5/1982,35,12/11/2013,100,Velsen-Noord,Man,Servicemanager,Amsterdam,PM en SM Amersfoort eFocus,Fulltimer,IJmuiden,Nederland
30/5/1973,44,1/10/2011,80,Utrecht,Vrouw,Marketing en Communicatie,Utrecht,Marketing & Communicatie,Parttimer,Feodosia,Nederland
10/11/1991,26,5/1/2015,100,Rotterdam,Man,QA Specialist,Amsterdam,Development Utrecht eFocus,Fulltimer,Rhoon,Nederland
14/5/1993,24,15/9/2016,90,Amersfoort,Man,Senior projectmanager,Amersfoort,PM en SM Utrecht eFocus,Fulltimer,Rosales,Nederland
3/8/1983,34,1/8/2017,100,Utrecht,Vrouw,UX Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Lemmer,Nederland
27/2/1975,42,1/3/2013,100,Utrecht,Vrouw,Developer,Utrecht,Development Utrecht eFocus,Fulltimer,Utrecht,Nederland
3/7/1982,35,1/4/2013,100,Zeist,Man,Front-end Developer,Utrecht,Creatie Eindhoven eFocus,Fulltimer,Horst,Nederland
29/4/1987,30,19/9/2016,100,Utrecht,Man,Cloud Engineer,Amersfoort,Development Utrecht eFocus,Fulltimer,Uden,Nederland
10/4/1982,35,9/10/2017,90,Bilthoven,Man,QA Specialist,Eindhoven,Development Amsterdam eFocus,Parttimer,Utrecht,Nederland
3/6/1985,32,15/10/2012,100,Baarn,Man,Developer,Utrecht,Development Amersfoort eFocus,Oproepkracht,Baarn,
23/9/1997,20,1/12/2007,100,Amersfoort,Vrouw,Projectmanager,Amersfoort,PM en SM Eindhoven eFocus,Fulltimer,Leeuwarden,Nederland
20/9/1993,24,1/9/2015,100,De Meern,Man,Digital Marketeer,Amersfoort,Strategie en OM Eindhoven eFocus,Fulltimer,Joensuu,Nederland
21/1/1983,34,1/6/2013,100,Eindhoven,Man,Accountmanager,Eindhoven,Sales & accountmanagement,Fulltimer,Eindhoven,Nederland
10/8/1975,42,1/7/2014,80,Eindhoven,Vrouw,Front-end Developer,Eindhoven,Creatie Amersfoort eFocus,Parttimer,Nijmegen,Nederland
9/7/1970,47,1/5/2017,80,Utrecht,Man,Content Producer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Epe,Nederland
